year,region,age_4,age_5,age_6,age_7,reg_code,gooddata
2013,Pelly,0.06252207,0.298366783,0.596946427,0.042164744,4,1
2013,Stewart,0.06252207,0.298366783,0.596946427,0.042164744,5,1
2013,Teslin River,0.06252207,0.298366783,0.596946427,0.042164744,6,1
2013,Upper Lakes and Mainstem,0.06252207,0.298366783,0.596946427,0.042164744,7,1
2013,White-Donjek,0.06252207,0.298366783,0.596946427,0.042164744,8,1
2014,Carmacks,0.070486887,0.506551485,0.396854261,0.026107366,1,1
2014,Lower Mainstem,0.070486887,0.506551485,0.396854261,0.026107366,2,1
2014,Middle Mainstem,0.070486887,0.506551485,0.396854261,0.026107366,3,1
2014,Pelly,0.070486887,0.506551485,0.396854261,0.026107366,4,1
2014,Stewart,0.070486887,0.506551485,0.396854261,0.026107366,5,1
2014,Teslin River,0.070486887,0.506551485,0.396854261,0.026107366,6,1
2014,Upper Lakes and Mainstem,0.070486887,0.506551485,0.396854261,0.026107366,7,1
2014,White-Donjek,0.070486887,0.506551485,0.396854261,0.026107366,8,1
2015,Carmacks,0.124823768,0.339285997,0.514670134,0.021220101,1,1
2015,Lower Mainstem,0.124823768,0.339285997,0.514670134,0.021220101,2,1
2015,Middle Mainstem,0.124823768,0.339285997,0.514670134,0.021220101,3,1
2015,Pelly,0.124823768,0.339285997,0.514670134,0.021220101,4,1
2015,Stewart,0.124823768,0.339285997,0.514670134,0.021220101,5,1
2015,Teslin River,0.124823768,0.339285997,0.514670134,0.021220101,6,1
2015,Upper Lakes and Mainstem,0.124823768,0.339285997,0.514670134,0.021220101,7,1
2015,White-Donjek,0.124823768,0.339285997,0.514670134,0.021220101,8,1
2016,Carmacks,0.120633469,0.636866702,0.236977095,0.005522734,1,1
2016,Lower Mainstem,0.120633469,0.636866702,0.236977095,0.005522734,2,1
2016,Middle Mainstem,0.120633469,0.636866702,0.236977095,0.005522734,3,1
2016,Pelly,0.120633469,0.636866702,0.236977095,0.005522734,4,1
2016,Stewart,0.120633469,0.636866702,0.236977095,0.005522734,5,1
2016,Teslin River,0.120633469,0.636866702,0.236977095,0.005522734,6,1
2016,Upper Lakes and Mainstem,0.120633469,0.636866702,0.236977095,0.005522734,7,1
2016,White-Donjek,0.120633469,0.636866702,0.236977095,0.005522734,8,1
2017,Carmacks,0.05619555,0.481509157,0.453181987,0.009113306,1,1
2017,Lower Mainstem,0.05619555,0.481509157,0.453181987,0.009113306,2,1
2017,Middle Mainstem,0.05619555,0.481509157,0.453181987,0.009113306,3,1
2017,Pelly,0.05619555,0.481509157,0.453181987,0.009113306,4,1
2017,Stewart,0.05619555,0.481509157,0.453181987,0.009113306,5,1
2017,Teslin River,0.05619555,0.481509157,0.453181987,0.009113306,6,1
2017,Upper Lakes and Mainstem,0.05619555,0.481509157,0.453181987,0.009113306,7,1
2017,White-Donjek,0.05619555,0.481509157,0.453181987,0.009113306,8,1
