year,region_num,region_code,Region Name,value_level,value
2011,1,32,Carmacks,estimate,13.01
2011,1,36,Lower Mainstem,estimate,6.72
2011,1,33,Middle Mainstem,estimate,13.79
2011,1,34,Pelly,estimate,23.58
2011,1,35,Stewart,estimate,6.09
2011,1,31,Teslin River,estimate,27.37
2011,1,30,Upper Lakes and Mainstem,estimate,4.66
2011,1,38,White-Donjek,estimate,4.79
2012,1,32,Carmacks,estimate,14.54
2012,1,36,Lower Mainstem,estimate,2.81
2012,1,33,Middle Mainstem,estimate,18.13
2012,1,34,Pelly,estimate,9.02
2012,1,35,Stewart,estimate,8.82
2012,1,31,Teslin River,estimate,36.14
2012,1,30,Upper Lakes and Mainstem,estimate,6.63
2012,1,38,White-Donjek,estimate,3.9
2013,1,32,Carmacks,estimate,15.69
2013,1,36,Lower Mainstem,estimate,0.73
2013,1,33,Middle Mainstem,estimate,21.3
2013,1,34,Pelly,estimate,15.35
2013,1,35,Stewart,estimate,3.92
2013,1,31,Teslin River,estimate,33.81
2013,1,30,Upper Lakes and Mainstem,estimate,6.81
2013,1,38,White-Donjek,estimate,2.39
2014,1,32,Carmacks,estimate,12.17
2014,1,36,Lower Mainstem,estimate,2.58
2014,1,33,Middle Mainstem,estimate,21.06
2014,1,34,Pelly,estimate,16.78
2014,1,35,Stewart,estimate,7.29
2014,1,31,Teslin River,estimate,31.18
2014,1,30,Upper Lakes and Mainstem,estimate,4.06
2014,1,38,White-Donjek,estimate,4.89
2015,1,32,Carmacks,estimate,17.51
2015,1,36,Lower Mainstem,estimate,4.44
2015,1,33,Middle Mainstem,estimate,16.02
2015,1,34,Pelly,estimate,18.17
2015,1,35,Stewart,estimate,8.16
2015,1,31,Teslin River,estimate,25.41
2015,1,30,Upper Lakes and Mainstem,estimate,4.64
2015,1,38,White-Donjek,estimate,5.64
2016,1,32,Carmacks,estimate,16.41
2016,1,36,Lower Mainstem,estimate,4.24
2016,1,33,Middle Mainstem,estimate,11.84
2016,1,34,Pelly,estimate,15.27
2016,1,35,Stewart,estimate,7.97
2016,1,31,Teslin River,estimate,34.98
2016,1,30,Upper Lakes and Mainstem,estimate,6.59
2016,1,38,White-Donjek,estimate,2.7
1982,1,32,Carmacks,sd,4.2
1982,1,36,Lower Mainstem,sd,4.4
1982,1,33,Middle Mainstem,sd,4
1982,1,34,Pelly,sd,5.2
1982,1,35,Stewart,sd,6.2
1982,1,31,Teslin River,sd,6.7
1982,1,30,Upper Lakes and Mainstem,sd,1.8
1982,1,38,White-Donjek,sd,4.4
1983,1,32,Carmacks,sd,4.9
1983,1,36,Lower Mainstem,sd,2.3
1983,1,33,Middle Mainstem,sd,6.2
1983,1,34,Pelly,sd,3.2
1983,1,35,Stewart,sd,3.8
1983,1,31,Teslin River,sd,7.5
1983,1,30,Upper Lakes and Mainstem,sd,1.6
1983,1,38,White-Donjek,sd,1.7
1985,1,32,Carmacks,sd,4.5
1985,1,36,Lower Mainstem,sd,2.1
