"data_label" "year" "gear" "julian" "samp_num" "substock" "prob" "samp_early_count" "samp_early_prop" "samp_late_count" "samp_late_prop"
"85" "YukonRetro" 1982 "Fish Wheel" 214 109 "Carmacks" 0.62 NA NA NA NA
"86" "YukonRetro" 1982 "Fish Wheel" 214 110 "Teslin River" 0.86 NA NA NA NA
"87" "YukonRetro" 1982 "Fish Wheel" 214 111 "Middle Mainstem" 0.53 NA NA NA NA
"88" "YukonRetro" 1982 "Fish Wheel" 215 112 "Teslin River" 0.58 NA NA NA NA
"89" "YukonRetro" 1982 "Fish Wheel" 215 113 "Teslin River" 0.79 NA NA NA NA
"90" "YukonRetro" 1982 "Fish Wheel" 215 114 "Teslin River" 0.61 NA NA NA NA
"91" "YukonRetro" 1982 "Fish Wheel" 215 115 "Teslin River" 0.95 NA NA NA NA
"92" "YukonRetro" 1982 "Fish Wheel" 215 116 "Pelly" 0.92 NA NA NA NA
"93" "YukonRetro" 1982 "Fish Wheel" 216 117 "Pelly" 0.83 NA NA NA NA
"94" "YukonRetro" 1982 "Fish Wheel" 216 118 "Teslin River" 0.62 NA NA NA NA
"95" "YukonRetro" 1982 "Fish Wheel" 217 119 "Pelly" 0.91 NA NA NA NA
"96" "YukonRetro" 1982 "Fish Wheel" 217 120 "Pelly" 1 NA NA NA NA
"97" "YukonRetro" 1982 "Fish Wheel" 220 122 "Teslin River" 0.63 NA NA NA NA
"98" "YukonRetro" 1982 "Fish Wheel" 220 123 "Pelly" 0.94 NA NA NA NA
"99" "YukonRetro" 1982 "Fish Wheel" 222 125 "Teslin River" 0.52 NA NA NA NA
"100" "YukonRetro" 1982 "Fish Wheel" 222 126 "Teslin River" 0.67 NA NA NA NA
"101" "YukonRetro" 1982 "Fish Wheel" 223 128 "Teslin River" 0.6 NA NA NA NA
"102" "YukonRetro" 1982 "Fish Wheel" 223 130 "Teslin River" 0.88 NA NA NA NA
"103" "YukonRetro" 1982 "Fish Wheel" 235 131 "Teslin River" 0.82 NA NA NA NA
"104" "YukonRetro" 1983 "Fish Wheel" 184 2 "Lower Mainstem" 1 NA NA NA NA
"105" "YukonRetro" 1983 "Fish Wheel" 184 3 "Stewart" 0.65 NA NA NA NA
"106" "YukonRetro" 1983 "Fish Wheel" 185 4 "Lower Mainstem" 0.96 NA NA NA NA
"107" "YukonRetro" 1983 "Fish Wheel" 164 5 "Lower Mainstem" 1 NA NA NA NA
"108" "YukonRetro" 1983 "Fish Wheel" 162 11 "Carmacks" 0.92 NA NA NA NA
"109" "YukonRetro" 1983 "Fish Wheel" 162 12 "Teslin River" 1 NA NA NA NA
"110" "YukonRetro" 1983 "Fish Wheel" 189 13 "Lower Mainstem" 1 NA NA NA NA
"111" "YukonRetro" 1983 "Fish Wheel" 192 16 "Teslin River" 0.91 NA NA NA NA
"112" "YukonRetro" 1983 "Fish Wheel" 190 17 "Teslin River" 0.65 NA NA NA NA
"113" "YukonRetro" 1983 "Fish Wheel" 192 18 "Carmacks" 0.73 NA NA NA NA
"114" "YukonRetro" 1983 "Fish Wheel" 191 20 "Lower Mainstem" 1 NA NA NA NA
"115" "YukonRetro" 1983 "Fish Wheel" 194 22 "Lower Mainstem" 1 NA NA NA NA
"116" "YukonRetro" 1983 "Fish Wheel" 195 23 "Carmacks" 0.87 NA NA NA NA
"117" "YukonRetro" 1983 "Fish Wheel" 196 24 "Carmacks" 0.56 NA NA NA NA
"118" "YukonRetro" 1983 "Fish Wheel" 169 26 "Teslin River" 0.99 NA NA NA NA
"119" "YukonRetro" 1983 "Fish Wheel" 169 28 "Teslin River" 0.86 NA NA NA NA
"120" "YukonRetro" 1983 "Fish Wheel" 195 29 "Teslin River" 0.54 NA NA NA NA
"121" "YukonRetro" 1983 "Fish Wheel" 170 30 "Teslin River" 0.9 NA NA NA NA
"122" "YukonRetro" 1983 "Fish Wheel" 196 31 "Teslin River" 0.97 NA NA NA NA
"123" "YukonRetro" 1983 "Fish Wheel" 196 32 "Teslin River" 0.51 NA NA NA NA
"124" "YukonRetro" 1983 "Fish Wheel" 198 33 "Teslin River" 0.99 NA NA NA NA
"125" "YukonRetro" 1983 "Fish Wheel" 198 36 "Stewart" 0.6 NA NA NA NA
"126" "YukonRetro" 1983 "Fish Wheel" 197 37 "Teslin River" 0.73 NA NA NA NA
"127" "YukonRetro" 1983 "Fish Wheel" 200 38 "Teslin River" 0.74 NA NA NA NA
"128" "YukonRetro" 1983 "Fish Wheel" 208 39 "Carmacks" 0.72 NA NA NA NA
"129" "YukonRetro" 1983 "Fish Wheel" 199 40 "Teslin River" 0.85 NA NA NA NA
"130" "YukonRetro" 1983 "Fish Wheel" 170 41 "Teslin River" 0.8 NA NA NA NA
"131" "YukonRetro" 1983 "Fish Wheel" 171 42 "Teslin River" 0.91 NA NA NA NA
"132" "YukonRetro" 1983 "Fish Wheel" 201 43 "Carmacks" 0.69 NA NA NA NA
"133" "YukonRetro" 1983 "Fish Wheel" 210 44 "Teslin River" 0.95 NA NA NA NA
"134" "YukonRetro" 1983 "Fish Wheel" 211 45 "Teslin River" 0.74 NA NA NA NA
"135" "YukonRetro" 1983 "Fish Wheel" 173 46 "White-Donjek" 0.81 NA NA NA NA
"136" "YukonRetro" 1983 "Fish Wheel" 211 47 "Pelly" 0.76 NA NA NA NA
"137" "YukonRetro" 1983 "Fish Wheel" 211 48 "Carmacks" 0.81 NA NA NA NA
"138" "YukonRetro" 1983 "Fish Wheel" 211 49 "Teslin River" 0.99 NA NA NA NA
"139" "YukonRetro" 1983 "Fish Wheel" 211 50 "Teslin River" 0.91 NA NA NA NA
"140" "YukonRetro" 1983 "Fish Wheel" 201 51 "Stewart" 0.52 NA NA NA NA
"141" "YukonRetro" 1983 "Fish Wheel" 201 54 "Stewart" 0.54 NA NA NA NA
"142" "YukonRetro" 1983 "Fish Wheel" 176 55 "Teslin River" 0.54 NA NA NA NA
"143" "YukonRetro" 1983 "Fish Wheel" 201 56 "Pelly" 0.92 NA NA NA NA
"144" "YukonRetro" 1983 "Fish Wheel" 201 57 "Teslin River" 0.51 NA NA NA NA
"145" "YukonRetro" 1983 "Fish Wheel" 201 58 "Teslin River" 0.8 NA NA NA NA
"146" "YukonRetro" 1983 "Fish Wheel" 201 59 "Teslin River" 0.63 NA NA NA NA
"147" "YukonRetro" 1983 "Fish Wheel" 201 60 "Teslin River" 0.99 NA NA NA NA
"148" "YukonRetro" 1983 "Fish Wheel" 201 61 "Teslin River" 0.7 NA NA NA NA
"149" "YukonRetro" 1983 "Fish Wheel" 201 63 "Teslin River" 0.63 NA NA NA NA
