count_type	month	day	count	year	julian
fish_wheel	7	14	12	1988	196
fish_wheel	7	15	17	1988	197
fish_wheel	7	16	18	1988	198
fish_wheel	7	17	49	1988	199
fish_wheel	7	18	45	1988	200
fish_wheel	7	19	42	1988	201
fish_wheel	7	20	52	1988	202
fish_wheel	7	21	37	1988	203
fish_wheel	7	22	33	1988	204
fish_wheel	7	23	11	1988	205
fish_wheel	7	24	19	1988	206
fish_wheel	7	25	33	1988	207
fish_wheel	7	26	19	1988	208
fish_wheel	7	27	30	1988	209
fish_wheel	7	28	33	1988	210
fish_wheel	7	29	27	1988	211
fish_wheel	7	30	11	1988	212
fish_wheel	7	31	30	1988	213
fish_wheel	8	1	35	1988	214
fish_wheel	8	2	20	1988	215
fish_wheel	8	3	25	1988	216
fish_wheel	8	4	17	1988	217
fish_wheel	8	5	22	1988	218
fish_wheel	8	6	23	1988	219
fish_wheel	8	7	10	1988	220
fish_wheel	8	8	12	1988	221
fish_wheel	8	9	12	1988	222
fish_wheel	8	10	35	1988	223
fish_wheel	8	11	16	1988	224
fish_wheel	8	12	20	1988	225
fish_wheel	8	13	13	1988	226
fish_wheel	8	14	11	1988	227
fish_wheel	8	15	8	1988	228
fish_wheel	8	16	9	1988	229
fish_wheel	8	17	4	1988	230
fish_wheel	8	18	4	1988	231
fish_wheel	8	19	2	1988	232
fish_wheel	8	20	5	1988	233
fish_wheel	8	21	3	1988	234
fish_wheel	8	22	1	1988	235
fish_wheel	8	23	2	1988	236
fish_wheel	8	24	1	1988	237
fish_wheel	8	25	1	1988	238
fish_wheel	8	26	1	1988	239
fish_wheel	8	27	1	1988	240
fish_wheel	8	28	0	1988	241
fish_wheel	8	29	1	1988	242
fish_wheel	8	30	0	1988	243
fish_wheel	8	31	0	1988	244
fish_wheel	9	1	0	1988	245
fish_wheel	9	2	0	1988	246
fish_wheel	9	3	0	1988	247
fish_wheel	9	4	0	1988	248
fish_wheel	9	5	0	1988	249
fish_wheel	9	6	0	1988	250
fish_wheel	9	7	0	1988	251
fish_wheel	9	8	0	1988	252
fish_wheel	9	9	0	1988	253
fish_wheel	9	10	0	1988	254
fish_wheel	9	11	0	1988	255
fish_wheel	9	12	0	1988	256
fish_wheel	9	13	0	1988	257
fish_wheel	9	14	0	1988	258
fish_wheel	9	15	0	1988	259
fish_wheel	9	16	0	1988	260
fish_wheel	9	17	0	1988	261
fish_wheel	9	18	0	1988	262
fish_wheel	9	19	0	1988	263
fish_wheel	9	20	0	1988	264
fish_wheel	9	21	0	1988	265
fish_wheel	9	22	0	1988	266
fish_wheel	9	23	0	1988	267
fish_wheel	9	24	0	1988	268
fish_wheel	9	25	0	1988	269
fish_wheel	9	26	1	1988	270
fish_wheel	9	27	0	1988	271
fish_wheel	9	28	0	1988	272
fish_wheel	9	29	0	1988	273
fish_wheel	9	30	0	1988	274
fish_wheel	10	1	0	1988	275
fish_wheel	10	2	0	1988	276
fish_wheel	10	3	0	1988	277
fish_wheel	10	4	0	1988	278
fish_wheel	10	5	0	1988	279
fish_wheel	10	6	0	1988	280
fish_wheel	10	7	0	1988	281
fish_wheel	10	8	0	1988	282
fish_wheel	10	9	0	1988	283
fish_wheel	10	10	0	1988	284
fish_wheel	6	23	0	1989	174
fish_wheel	6	24	0	1989	175
fish_wheel	6	25	0	1989	176
fish_wheel	6	26	0	1989	177
fish_wheel	6	27	0	1989	178
fish_wheel	6	28	0	1989	179
fish_wheel	6	29	0	1989	180
fish_wheel	6	30	0	1989	181
fish_wheel	7	1	0	1989	182
fish_wheel	7	2	0	1989	183
fish_wheel	7	3	1	1989	184
fish_wheel	7	4	0	1989	185
fish_wheel	7	5	1	1989	186
fish_wheel	7	6	1	1989	187
fish_wheel	7	7	0	1989	188
fish_wheel	7	8	6	1989	189
fish_wheel	7	9	11	1989	190
fish_wheel	7	10	5	1989	191
fish_wheel	7	11	7	1989	192
fish_wheel	7	12	15	1989	193
fish_wheel	7	13	28	1989	194
fish_wheel	7	14	23	1989	195
fish_wheel	7	15	33	1989	196
fish_wheel	7	16	40	1989	197
fish_wheel	7	17	49	1989	198
fish_wheel	7	18	35	1989	199
fish_wheel	7	19	42	1989	200
fish_wheel	7	20	37	1989	201
fish_wheel	7	21	49	1989	202
fish_wheel	7	22	38	1989	203
fish_wheel	7	23	47	1989	204
fish_wheel	7	24	41	1989	205
fish_wheel	7	25	53	1989	206
fish_wheel	7	26	33	1989	207
fish_wheel	7	27	43	1989	208
fish_wheel	7	28	52	1989	209
fish_wheel	7	29	52	1989	210
fish_wheel	7	30	46	1989	211
fish_wheel	7	31	48	1989	212
fish_wheel	8	1	45	1989	213
fish_wheel	8	2	31	1989	214
fish_wheel	8	3	23	1989	215
fish_wheel	8	4	22	1989	216
fish_wheel	8	5	12	1989	217
fish_wheel	8	6	17	1989	218
fish_wheel	8	7	14	1989	219
fish_wheel	8	8	18	1989	220
fish_wheel	8	9	8	1989	221
fish_wheel	8	10	9	1989	222
fish_wheel	8	11	5	1989	223
fish_wheel	8	12	3	1989	224
fish_wheel	8	13	3	1989	225
fish_wheel	8	14	5	1989	226
fish_wheel	8	15	1	1989	227
fish_wheel	8	16	2	1989	228
fish_wheel	8	17	0	1989	229
fish_wheel	8	18	0	1989	230
fish_wheel	8	19	4	1989	231
fish_wheel	8	20	0	1989	232
fish_wheel	8	21	1	1989	233
fish_wheel	8	22	1	1989	234
fish_wheel	8	23	0	1989	235
fish_wheel	8	24	2	1989	236
fish_wheel	8	25	1	1989	237
fish_wheel	8	26	1	1989	238
fish_wheel	8	27	1	1989	239
fish_wheel	8	28	0	1989	240
fish_wheel	8	29	0	1989	241
fish_wheel	8	30	0	1989	242
fish_wheel	8	31	0	1989	243
fish_wheel	9	1	0	1989	244
fish_wheel	9	2	0	1989	245
fish_wheel	9	3	0	1989	246
fish_wheel	9	4	0	1989	247
fish_wheel	9	5	0	1989	248
fish_wheel	9	6	0	1989	249
fish_wheel	9	7	0	1989	250
fish_wheel	9	8	0	1989	251
fish_wheel	9	9	0	1989	252
fish_wheel	9	10	0	1989	253
fish_wheel	9	11	0	1989	254
fish_wheel	9	12	0	1989	255
fish_wheel	9	13	0	1989	256
fish_wheel	9	14	0	1989	257
fish_wheel	9	15	0	1989	258
fish_wheel	9	16	0	1989	259
fish_wheel	9	17	0	1989	260
fish_wheel	9	18	0	1989	261
fish_wheel	9	19	0	1989	262
fish_wheel	9	20	0	1989	263
fish_wheel	9	21	0	1989	264
fish_wheel	9	22	0	1989	265
fish_wheel	9	23	0	1989	266
fish_wheel	9	24	0	1989	267
fish_wheel	9	25	0	1989	268
fish_wheel	9	26	0	1989	269
fish_wheel	9	27	0	1989	270
fish_wheel	9	28	0	1989	271
fish_wheel	9	29	0	1989	272
fish_wheel	9	30	0	1989	273
fish_wheel	10	1	0	1989	274
fish_wheel	10	2	0	1989	275
fish_wheel	10	3	0	1989	276
fish_wheel	10	4	0	1989	277
fish_wheel	10	5	0	1989	278
fish_wheel	10	6	0	1989	279
fish_wheel	10	7	0	1989	280
fish_wheel	10	8	0	1989	281
fish_wheel	10	9	0	1989	282
fish_wheel	10	10	0	1989	283
fish_wheel	6	23	0	1990	174
fish_wheel	6	24	0	1990	175
fish_wheel	6	25	0	1990	176
fish_wheel	6	26	0	1990	177
fish_wheel	6	27	0	1990	178
fish_wheel	6	28	0	1990	179
fish_wheel	6	29	1	1990	180
fish_wheel	6	30	2	1990	181
fish_wheel	7	1	3	1990	182
fish_wheel	7	2	0	1990	183
