year,sample_type,julian_date,sample_num,stock,region,prob
1982,unkn,209,76,Teslin,31,0.13
1982,unkn,209,76,Morley,31,0.12
1982,unkn,209,76,Big_Salmon,32,0.14
1982,unkn,209,76,L_Salmon,32,0.09
1982,unkn,209,77,Teslin,31,0.69
1982,unkn,209,77,Nisutlin,31,0.15
1982,unkn,209,77,Morley,31,0.02
1982,unkn,209,77,Yukon_main,33,0.12
1982,unkn,209,77,Stewart,35,0
1982,unkn,209,78,Nisutlin,31,0.41
1982,unkn,209,78,L_Salmon,32,0.07
1982,unkn,209,78,Yukon_main,33,0.08
1982,unkn,209,78,McQuesten,35,0.09
1982,unkn,209,78,Nisling,38,0.07
1982,unkn,209,79,Teslin,31,0.12
1982,unkn,209,79,Big_Salmon,32,0.51
1982,unkn,209,79,L_Salmon,32,0.2
1982,unkn,209,79,L_andB_Kalzas,34,0.07
1982,unkn,209,79,Pelly,34,0.04
1982,unkn,210,80,Nisutlin,31,0.92
1982,unkn,210,80,Morley,31,0.05
1982,unkn,210,80,Teslin,31,0
1982,unkn,210,80,Teslin_Lake,31,0
1982,unkn,210,80,Yukon_main,33,0
1982,unkn,210,81,Nisutlin,31,0.99
1982,unkn,210,81,Morley,31,0
1982,unkn,210,81,Teslin_Lake,31,0
1982,unkn,210,81,Yukon_main,33,0
1982,unkn,210,81,Stewart,35,0
1982,unkn,210,83,Mayo,35,0.1
1982,unkn,210,83,McQuesten,35,0.03
1982,unkn,210,83,Stewart,35,0.03
1982,unkn,210,83,Klondike,36,0.52
1982,unkn,210,83,Chandindu,36,0.31
1982,unkn,210,85,Pelly,34,0.19
1982,unkn,210,85,Ross_YT,34,0.01
1982,unkn,210,85,Stewart,35,0.08
1982,unkn,210,85,Mayo,35,0.01
1982,unkn,210,85,Nisling,38,0.68
1982,unkn,210,86,Nisutlin,31,0.83
1982,unkn,210,86,Teslin,31,0.03
1982,unkn,210,86,Wolf_R,31,0.03
1982,unkn,210,86,100_Mile_R,31,0.02
1982,unkn,210,86,McQuesten,35,0.05
1982,unkn,211,87,Nisutlin,31,0.99
1982,unkn,211,87,Teslin_Lake,31,0.01
1982,unkn,211,87,100_Mile_R,31,0
1982,unkn,211,87,Morley,31,0
1982,unkn,211,88,Pelly,34,0.2
1982,unkn,211,88,Blind_Cr,34,0.08
1982,unkn,211,88,Mayo,35,0.27
1982,unkn,211,88,McQuesten,35,0.11
1982,unkn,211,88,Stewart,35,0.1
1982,unkn,211,89,100_Mile_R,31,0.26
1982,unkn,211,89,Teslin,31,0.18
1982,unkn,211,89,Kalzas,34,0.05
1982,unkn,211,89,Stewart,35,0.21
1982,unkn,211,89,Mayo,35,0.14
1982,unkn,212,90,Nisutlin,31,0.44
1982,unkn,212,90,100_Mile_R,31,0.03
1982,unkn,212,90,McQuesten,35,0.46
1982,unkn,212,90,Mayo,35,0
1982,unkn,212,90,Klondike,36,0.06
1982,unkn,212,91,Teslin,31,0.48
1982,unkn,212,91,Nisutlin,31,0.03
1982,unkn,212,91,L_Salmon,32,0.16
1982,unkn,212,91,Big_Salmon,32,0.09
1982,unkn,212,91,Yukon_main,33,0.21
1982,unkn,212,92,Nisutlin,31,0.01
1982,unkn,212,92,Yukon_main,33,0
1982,unkn,212,92,McQuesten,35,0.13
1982,unkn,212,92,Klondike,36,0.65
1982,unkn,212,92,Chandindu,36,0.2
1982,unkn,212,93,Teslin,31,0.55
1982,unkn,212,93,Tatchun,32,0.03
1982,unkn,212,93,Big_Salmon,32,0.01
1982,unkn,212,93,L_Salmon,32,0.01
1982,unkn,212,93,Yukon_main,33,0.4
1982,unkn,212,94,Teslin,31,0.23
1982,unkn,212,94,L_Salmon,32,0.04
1982,unkn,212,94,Yukon_main,33,0.1
1982,unkn,212,94,Pelly,34,0.46
1982,unkn,212,94,L_andB_Kalzas,34,0.05
1982,unkn,212,95,L_andB_Kalzas,34,0.57
1982,unkn,212,95,Kalzas,34,0.39
1982,unkn,212,95,Pelly,34,0.03
1982,unkn,212,95,Stewart,35,0.01
1982,unkn,212,95,Mayo,35,0
1982,unkn,212,96,Nisutlin,31,0.93
1982,unkn,212,96,Teslin,31,0.03
1982,unkn,212,96,Morley,31,0
1982,unkn,212,96,Teslin_Lake,31,0
1982,unkn,212,96,L_Salmon,32,0.02
1982,unkn,212,97,Teslin,31,0.66
1982,unkn,212,97,Big_Salmon,32,0.05
1982,unkn,212,97,L_Salmon,32,0.04
1982,unkn,212,97,Yukon_main,33,0.24
1982,unkn,212,97,McQuesten,35,0
1982,unkn,212,99,Nisutlin,31,0.13
1982,unkn,212,99,Morley,31,0.05
1982,unkn,212,99,Pelly,34,0.24
1982,unkn,212,99,McQuesten,35,0.1
1982,unkn,212,99,Klondike,36,0.27
1982,unkn,213,100,Pelly,34,0.61
1982,unkn,213,100,Ross_YT,34,0.31
1982,unkn,213,100,Earn,34,0.02
1982,unkn,213,100,Kalzas,34,0.01
1982,unkn,213,100,McQuesten,35,0.02
1982,unkn,213,101,Teslin,31,0.11
1982,unkn,213,101,Big_Salmon,32,0.56
1982,unkn,213,101,L_Salmon,32,0.22
1982,unkn,213,101,Tatchun,32,0.04
1982,unkn,213,101,Yukon_main,33,0.03
1982,unkn,213,103,Teslin,31,0.55
1982,unkn,213,103,Nisutlin,31,0.04
1982,unkn,213,103,Big_Salmon,32,0.04
1982,unkn,213,103,L_Salmon,32,0.03
1982,unkn,213,103,Yukon_main,33,0.29
1982,unkn,213,104,Teslin,31,0.07
1982,unkn,213,104,Yukon_main,33,0.11
1982,unkn,213,104,Mayo,35,0.26
1982,unkn,213,104,McQuesten,35,0.25
1982,unkn,213,104,Stewart,35,0.13
1982,unkn,213,105,Teslin,31,0.13
1982,unkn,213,105,Morley,31,0.05
1982,unkn,213,105,Big_Salmon,32,0.59
1982,unkn,213,105,L_Salmon,32,0.11
1982,unkn,213,105,Yukon_main,33,0.08
1982,unkn,213,107,Teslin,31,0.63
1982,unkn,213,107,Nisutlin,31,0.11
1982,unkn,213,107,L_Salmon,32,0.04
1982,unkn,213,107,Tatchun,32,0.03
1982,unkn,213,107,Yukon_main,33,0.14
1982,unkn,214,108,Pelly,34,0.78
1982,unkn,214,108,Ross_YT,34,0.01
1982,unkn,214,108,Stewart,35,0.01
1982,unkn,214,108,Kluane,38,0.14
1982,unkn,214,108,Nisling,38,0.05
1982,unkn,214,109,Teslin,31,0.28
1982,unkn,214,109,Big_Salmon,32,0.38
1982,unkn,214,109,L_Salmon,32,0.24
1982,unkn,214,109,Pelly,34,0.05
1982,unkn,214,109,Ross_YT,34,0.03
1982,unkn,214,110,Teslin,31,0.84
1982,unkn,214,110,Morley,31,0.02
1982,unkn,214,110,L_Salmon,32,0.01
1982,unkn,214,110,Yukon_main,33,0.05
1982,unkn,214,110,Pelly,34,0.05
1982,unkn,214,111,Teslin,31,0.45
1982,unkn,214,111,Nisutlin,31,0.01
1982,unkn,214,111,Yukon_main,33,0.53
1982,unkn,214,111,McQuesten,35,0.01
1982,unkn,214,111,Stewart,35,0
1982,unkn,215,112,Nisutlin,31,0.32
1982,unkn,215,112,Teslin,31,0.14
1982,unkn,215,112,Morley,31,0.1
1982,unkn,215,112,L_Salmon,32,0.21
1982,unkn,215,112,McQuesten,35,0.05
1982,unkn,215,113,Teslin,31,0.77
1982,unkn,215,113,Morley,31,0.01
1982,unkn,215,113,Big_Salmon,32,0.05
1982,unkn,215,113,L_Salmon,32,0.02
1982,unkn,215,113,Yukon_main,33,0.11
1982,unkn,215,114,Takhini,30,0.05
1982,unkn,215,114,Teslin,31,0.6
1982,unkn,215,114,100_Mile_R,31,0.01
1982,unkn,215,114,Yukon_main,33,0.34
1982,unkn,215,114,Stewart,35,0
1982,unkn,215,115,Nisutlin,31,0.69
1982,unkn,215,115,Morley,31,0.11
1982,unkn,215,115,Teslin,31,0.08
1982,unkn,215,115,100_Mile_R,31,0.07
1982,unkn,215,115,Yukon_main,33,0.04
1982,unkn,215,116,Teslin,31,0.02
1982,unkn,215,116,Yukon_main,33,0.02
1982,unkn,215,116,Pelly,34,0.86
1982,unkn,215,116,Ross_YT,34,0.05
1982,unkn,215,116,McQuesten,35,0.03
1982,unkn,216,117,Big_Salmon,32,0.04
1982,unkn,216,117,L_Salmon,32,0.04
1982,unkn,216,117,Pelly,34,0.79
1982,unkn,216,117,L_andB_Kalzas,34,0.02
1982,unkn,216,117,Stewart,35,0.06
1982,unkn,216,118,Teslin,31,0.61
1982,unkn,216,118,L_Salmon,32,0.18
1982,unkn,216,118,Big_Salmon,32,0.07
1982,unkn,216,118,Yukon_main,33,0.12
1982,unkn,216,118,Mayo,35,0.01
1982,unkn,217,119,L_Salmon,32,0.02
1982,unkn,217,119,Ross_YT,34,0.73
1982,unkn,217,119,Pelly,34,0.12
1982,unkn,217,119,Blind_Cr,34,0.04
1982,unkn,217,119,Nisling,38,0.05
1982,unkn,217,120,L_andB_Kalzas,34,0.78
1982,unkn,217,120,Kalzas,34,0.16
1982,unkn,217,120,Pelly,34,0.06
1982,unkn,217,120,Earn,34,0
1982,unkn,217,120,Nisling,38,0
1982,unkn,218,121,Takhini,30,0.09
1982,unkn,218,121,Teslin,31,0.08
1982,unkn,218,121,Big_Salmon,32,0.31
1982,unkn,218,121,L_Salmon,32,0.06
1982,unkn,218,121,Pelly,34,0.35
1982,unkn,220,122,Teslin,31,0.54
1982,unkn,220,122,Nisutlin,31,0.08
1982,unkn,220,122,Wolf_R,31,0.01
1982,unkn,220,122,100_Mile_R,31,0
1982,unkn,220,122,Yukon_main,33,0.37
1982,unkn,220,123,Teslin,31,0.02
1982,unkn,220,123,Big_Salmon,32,0.02
1982,unkn,220,123,L_Salmon,32,0.02
1982,unkn,220,123,Pelly,34,0.64
1982,unkn,220,123,Ross_YT,34,0.29
1982,unkn,221,124,Teslin,31,0.34
1982,unkn,221,124,Big_Salmon,32,0.12
1982,unkn,221,124,L_Salmon,32,0.11
1982,unkn,221,124,Mayo,35,0.24
1982,unkn,221,124,Stewart,35,0.07
1982,unkn,222,125,Teslin,31,0.52
1982,unkn,222,125,L_Salmon,32,0.24
1982,unkn,222,125,Big_Salmon,32,0.08
1982,unkn,222,125,Yukon_main,33,0.03
1982,unkn,222,125,Pelly,34,0.07
1982,unkn,222,126,Teslin,31,0.67
1982,unkn,222,126,L_Salmon,32,0.05
1982,unkn,222,126,Big_Salmon,32,0.03
1982,unkn,222,126,Tatchun,32,0.03
1982,unkn,222,126,Yukon_main,33,0.21
1982,unkn,222,127,Teslin,31,0.23
1982,unkn,222,127,100_Mile_R,31,0.04
1982,unkn,222,127,Yukon_main,33,0.37
1982,unkn,222,127,Stewart,35,0.15
1982,unkn,222,127,Mayo,35,0.08
1982,unkn,223,128,Teslin,31,0.6
1982,unkn,223,128,L_Salmon,32,0.1
1982,unkn,223,128,Yukon_main,33,0.26
1982,unkn,223,128,Pelly,34,0.03
1982,unkn,223,128,Mayo,35,0.01
1982,unkn,223,129,Teslin,31,0.45
1982,unkn,223,129,Yukon_main,33,0.35
1982,unkn,223,129,Pelly,34,0.04
1982,unkn,223,129,Kalzas,34,0.03
1982,unkn,223,129,Stewart,35,0.08
1982,unkn,223,130,Nisutlin,31,0.67
1982,unkn,223,130,Morley,31,0.09
1982,unkn,223,130,Teslin,31,0.08
1982,unkn,223,130,100_Mile_R,31,0.04
1982,unkn,223,130,Big_Salmon,32,0.04
1982,unkn,235,131,Nisutlin,31,0.75
1982,unkn,235,131,Teslin,31,0.06
1982,unkn,235,131,Morley,31,0.02
1982,unkn,235,131,Yukon_main,33,0.11
1982,unkn,235,131,Pelly,34,0.02
1983,unkn,158,1,100_Mile_R,31,0.17
1983,unkn,158,1,N_Big_Salmon,32,0.06
1983,unkn,158,1,Yukon_main,33,0.15
1983,unkn,158,1,Mayo,35,0.19
1983,unkn,158,1,Stewart,35,0.17
1983,unkn,184,2,Klondike,36,0.85
1983,unkn,184,2,Chandindu,36,0.15
1983,unkn,184,3,Morley,31,0.05
1983,unkn,184,3,L_Salmon,32,0.05
1983,unkn,184,3,Pelly,34,0.1
1983,unkn,184,3,Mayo,35,0.38
1983,unkn,184,3,Stewart,35,0.27
