year,region,Spawn,reg_code,truecount
2008,Teslin River,7.352611,6,1
2008,Upper Lakes and Mainstem,0.576011,7,1
2008,White-Donjek,2.03298,8,1
2009,Carmacks,11.75004,1,1
2009,Lower Mainstem,6.005576,2,1
2009,Middle Mainstem,1.697228,3,1
2009,Pelly,16.3195,4,1
2009,Stewart,6.85419,5,1
2009,Teslin River,16.188944,6,1
2009,Upper Lakes and Mainstem,2.023618,7,1
2009,White-Donjek,4.438904,8,1
2010,Carmacks,5.058212,1,1
2010,Lower Mainstem,1.072469,2,1
2010,Middle Mainstem,3.68161,3,1
2010,Pelly,4.145813,4,1
2010,Stewart,3.457512,5,1
2010,Teslin River,10.916774,6,1
2010,Upper Lakes and Mainstem,2.465078,7,1
2010,White-Donjek,1.216532,8,1
2011,Carmacks,6.01991,1,1
2011,Lower Mainstem,3.102569,2,1
2011,Middle Mainstem,6.390366,3,1
2011,Pelly,10.9052985,4,1
2011,Stewart,2.824727,5,1
2011,Teslin River,12.688118,6,1
2011,Upper Lakes and Mainstem,2.176429,7,1
2011,White-Donjek,2.1995825,8,1
2012,Carmacks,4.767776,1,1
2012,Lower Mainstem,0.914368,2,1
2012,Middle Mainstem,5.910736,3,1
2012,Pelly,2.971696,4,1
2012,Stewart,2.873728,5,1
2012,Teslin River,11.788816,6,1
2012,Upper Lakes and Mainstem,2.155296,7,1
2012,White-Donjek,1.273584,8,1
2013,Carmacks,4.501033,1,1
2013,Lower Mainstem,0.2150175,2,1
2013,Middle Mainstem,6.106497,3,1
2013,Pelly,4.386357,4,1
2013,Stewart,1.118091,5,1
2013,Teslin River,9.690122,6,1
2013,Upper Lakes and Mainstem,1.949492,7,1
2013,White-Donjek,0.7023905,8,1
2014,Carmacks,7.726382,1,1
2014,Lower Mainstem,1.6149405,2,1
2014,Middle Mainstem,13.362841,3,1
2014,Pelly,10.6079425,4,1
2014,Stewart,4.5914975,5,1
2014,Teslin River,19.759272,6,1
2014,Upper Lakes and Mainstem,2.596571,7,1
2014,White-Donjek,3.0715535,8,1
2015,Carmacks,14.509287,1,1
2015,Lower Mainstem,3.637656,2,1
2015,Middle Mainstem,13.22784,3,1
2015,Pelly,15.046668,4,1
2015,Stewart,6.820605,5,1
2015,Teslin River,20.999196,6,1
2015,Upper Lakes and Mainstem,3.803004,7,1
2015,White-Donjek,4.629744,8,1
2016,Carmacks,11.282872,1,1
2016,Lower Mainstem,2.889516,2,1
2016,Middle Mainstem,8.118164,3,1
2016,Pelly,10.526094,4,1
2016,Stewart,5.50384,5,1
2016,Teslin River,24.0793,6,1
2016,Upper Lakes and Mainstem,4.540668,7,1
2016,White-Donjek,1.857546,8,1
2017,Carmacks,NA,1,1
2017,Lower Mainstem,NA,2,1
2017,Middle Mainstem,NA,3,1
2017,Pelly,NA,4,1
2017,Stewart,NA,5,1
2017,Teslin River,NA,6,1
2017,Upper Lakes and Mainstem,NA,7,1
2017,White-Donjek,NA,8,1
